time,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation_probability,wind_speed_10m,wind_gusts_10m,cloud_cover,uv_index,hour,city,country,continent,climate_group,latitude,longitude,timezone,activity,activity_score,comfort_distance,recommendation,season_block
2025-01-01 07:00:00,-0.9,-3.5,91,0.0,1.1,4.0,100,0.0,7,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,29.78,malo,enero
2025-01-01 08:00:00,-0.3,-2.7,90,0.0,0.2,3.6,100,0.0,8,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,29.26,malo,enero
2025-01-01 09:00:00,0.7,-1.7,89,0.0,0.9,1.8,100,0.0,9,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,28.02,regular,enero
2025-01-01 10:00:00,1.4,-1.0,91,0.0,2.3,4.3,100,0.0,10,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,27.240000000000002,regular,enero
2025-01-01 11:00:00,2.3,-0.2,92,0.0,3.6,7.9,100,0.0,11,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,26.18,regular,enero
2025-01-01 12:00:00,3.0,0.8,94,0.0,3.2,10.4,100,0.0,12,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,25.759999999999998,regular,enero
2025-01-01 13:00:00,4.2,2.2,90,0.0,2.0,11.5,100,0.0,13,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,24.400000000000002,regular,enero
2025-01-01 14:00:00,5.2,3.4,85,0.0,1.7,10.8,100,0.0,14,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,22.96,regular,enero
2025-01-01 15:00:00,7.2,5.4,76,0.0,1.6,10.8,13,0.0,15,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,60.0,20.080000000000002,regular,enero
2025-01-01 16:00:00,7.8,6.0,74,0.0,1.7,11.9,1,0.0,16,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,65.0,19.259999999999998,bueno,enero
2025-01-01 17:00:00,7.9,6.1,73,0.0,2.2,10.8,5,0.0,17,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,65.0,18.959999999999997,bueno,enero
2025-01-01 18:00:00,7.6,5.8,76,0.0,1.5,10.4,18,0.0,18,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,60.0,19.7,regular,enero
2025-01-01 19:00:00,5.6,3.4,84,0.0,3.6,7.6,1,0.0,19,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,60.0,22.08,regular,enero
2025-01-01 20:00:00,4.4,2.5,87,0.0,1.5,7.6,6,0.0,20,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,24.0,regular,enero
2025-01-01 21:00:00,3.3,1.2,92,0.0,2.6,3.6,17,0.0,21,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,25.38,regular,enero
2025-01-01 22:00:00,3.0,0.4,93,0.0,4.9,9.4,25,0.0,22,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,25.32,regular,enero
2025-01-02 07:00:00,-0.6,-3.1,95,0.0,1.5,4.7,25,0.0,7,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,29.8,malo,enero
2025-01-02 08:00:00,-0.8,-3.5,95,0.0,2.2,5.8,15,0.0,8,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,29.86,malo,enero
2025-01-02 09:00:00,-1.0,-3.5,95,0.0,0.7,5.8,14,0.0,9,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,30.36,malo,enero
2025-01-02 10:00:00,-0.9,-3.4,95,0.0,1.5,3.2,43,0.0,10,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,30.099999999999998,malo,enero
2025-01-02 11:00:00,1.1,-1.3,91,0.0,1.5,6.8,99,0.0,11,Madrid,España,Europa,templado_urbano,40.4165,-3.70256,Europe/Madrid,Pasear,55.0,27.7,regular,enero
